Adm_Year,Gender,Age,HSC_Pass_Year,Program,Merit_Scholarship,Uni_Transport,Learn_Mode,Smartphone,PC,Eng_Proficiency,Probation,Suspension,Do you attend in teacher consultancy for any kind of academical problems? ,Relationship,CoCurricular,Living_Arrangement,Health_Issues,Physical_Disabilities,Target,Curr_Sem1,Study_Hours1,Study_Sessions1,SM_Hours1,Avg_Attendance1,Skills1,Skill_Dev_Hours1,Interest_Area1,Prev_SGPA1,Curr_CGPA1,Completed_Credits1,Diploma,Family_Income1
2021,Female,22,2019,BCSE,Yes,No,Offline,Yes,Yes,Basic,Yes,No,Yes,Single,No,Bachelor,No,No,Good,4,2,2,2,100,Web development skill(Frontend),1,Networking,3.8,3.64,35,FALSE,32500
2021,Male,22,2019,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Bachelor,Yes,No,Good,4,3.5,2,2,90,Programming,1,Data Science,3.4,3.53,35,FALSE,20000
2021,Male,20,2020,BCSE,Yes,Yes,Offline,Yes,Yes,Basic,No,No,Yes,Single,Yes,Family,No,No,Good,4,2,1,1,95,Programming,3,Machine Learning / Deep Learning,3.93,3.89,35,FALSE,30000
2021,Male,21,2020,BCSE,Yes,No,Online,Yes,Yes,Advance,No,No,Yes,In a relationship,No,Family,No,No,Average,4,1,2,3,95,Programming,1,Artificial Intelligence,3.1,3.5,35,FALSE,25000
2021,Female,21,2019,BCSE,Yes,No,Offline,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,No,No,Good,4,3,2,2,96,Web development skill(Frontend),1,Web Development,3.81,3.65,34,FALSE,30000
2021,Male,21,2020,BCSE,Yes,Yes,Online,Yes,Yes,Advance,No,No,Yes,Single,Yes,Bachelor,Yes,No,Average,4,1.5,1.5,1,85,Content creation,1,Data Science,3.89,3.81,35,FALSE,35000
2021,Female,20,2020,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,Yes,Single,No,Family,No,No,Excellent,4,3,2,1,97,Programming,2,Software,3.79,3.82,39,FALSE,50000
2021,Male,19,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,Yes,No,Yes,Single,Yes,Family,Yes,No,Good,4,2.5,2,4,100,Programming,3,Artificial Intelligence,3.55,3.48,35,FALSE,40000
2021,Male,21,2020,BCSE,Yes,Yes,Online,Yes,Yes,Intermediate,No,No,Yes,Single,Yes,Bachelor,Yes,No,Good,4,2,1,2,95,"Programming, Software Development",2,Data Science,3.28,3.32,35,FALSE,8000
2021,Female,20,2020,BCSE,No,No,Offline,Yes,Yes,Basic,No,No,No,Single,No,Family,No,No,Good,4,2.5,2,3,99,Programming,1,Software,3.78,3.88,35,FALSE,200000
